Designator,Footprint,JLCPCB Part #
"Q5,Q4,Q3,Q2,Q1",SOT-23,C6705285
U2,SOT-223,C435835
"Y1,Y2",Crystal_SMD_0503_4Pads,C1985378
"D11,D2,D3,D5,D7,D10",SMA_Standard,C412438
U3,SOIC-8-N,C7010821
"U6,U7",SOIC-8-N,C74525
"U8,U9,U10,U11,U14,U15,U16,U17,U18,U19",SOIC-8-N,C31302
"D6,D12,D9,D13",SMA_Standard,C8678
"C12,C13,C36,C37,C71,C72,C73,C74,C75,C76,C113,C114,C115,C116,C117,C118,C125,C126,C2,C7,C9,C10,C15,C16,C17,C19,C29,C30,C41,C53,C54,C55,C56,C58,C60,C63,C66,C67,C77,C78,C79,C80,C82,C83,C84,C85,C86,C87,C89,C96,C98,C99,C100,C104,C106,C108,C112,C119,C127,C128,C40,C61,C91,C94,C95,C130,C138,C105,C120,C122,C103,C1,C121,C107",C0603,C286510
"C24,C25,C26,C27,C5,C6,C11,C20,C23,C31,C32,C33,C39,C45,C57",C0603,C107040
"C46,C47,C48,C49,C52,C59,C64,C81,C147,C21,C149,C22,C150,C148,C146,C500",C0603,C100040
"C42,C43,C44,C65,C88,C90,C101,C102,C129,C8,C18,C50,C136,C62,C139,C140,C142,C144,C141,C135,C134,C137,C133",C0603,C162273
"L1,L3,L7,L8,L9,L10,L11",R0603,C88971
"R2,R12,R13,R14,R15,R16,R30,R45,R61,R63,R66,R69,R72,R75,R91,R99,R101,R102,R103,R104,R105,R108,R117,R119,R121,R122,R123,R124,R125,R126,R127,R128,R136,R139,R118,R153,R165",R0603,C14676
"R3,R4,R5,R6,R8,R17,R18,R46,R84,R93,R94,R95,R96,R100,R76,R83,R85,R120,R134",R0603,C114669
"R7,R36,R37,R38,R39,R41,R42,R43,R44,R62,R64,R65,R67,R68,R70,R71,R73,R98,R106,R116,R135,R137,R138,R140,R142,R132,R35",R0603,C98220
"R9,R10,R11,R40,R86,R87,R88,R89,R147,R148,R154,R159,R160,R163,R167,R175,R176",R0603,C108405
"R19,R47,R48,R49,R50,R54,R55,R56,R57,R58,R90,R92,R107",R0603,C114661
"R21,R97,R141,R60,R133",R0603,C107231
"R23,R24,R25,R26,R31,R109,R110,R111,R112,R113,R114,R130,R131,R1",R0603,C114681
"R29,R34,R53,R59,R79,R20,R22,R74,R149,R161,R164,R166,R115",R0603,C863790
"R129,R162,R170,R169,R168,R171",R0603,C105588
"R27,R28,R32,R33,R51,R52,R77,R78",R1206,C34578
U5,SOIC-7,C37448
"D4,D14,D15,D18,D19,D20,D24,D8",LED-0805-SIDE,C160469
"D1,D16",LED-0805-SIDE,C284935
D17,LED-0805-SIDE,C160468
"R143,R174,R145",R_0603,C114680
"R146,R177,R173,R172,R144,R152",R_0603,C23186
D22,SMA_Standard,C499818
"C4,C35,C51,C68,C69,C110,C131,C132,C14,C97,C70,C145,C111,C123,C124,C109",C_0805,C162422
"R80,R81,R82",R_2512,C5224162
"U1,U20,U21,U22,U23,U29",SOT-23-6,C7519
"P1,P11",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C709357
U25,LQFP-48_7x7mm_Pitch0.5mm,C108516
U26,LQFP-100_14x14mm_Pitch0.5mm,C56621
"U24,U13,U28,U4",SOT-23-6,C16819
