Designator,Mid X,Mid Y,Rotation,Layer
_3,76.301031,-40.798474,0.0,top
_2,0.0,0.0,0.0,top
,6.03,-1.85,0.0,top
C1,54.16,43.93,180.0,top
C10,67.801031,-31.248474,270.0,top
C100,22.06,42.68,0.0,top
C101,12.85,8.67,270.0,top
C102,14.58,31.7,90.0,top
C103,14.8275,16.395,270.0,top
C104,14.58,29.03,270.0,top
C105,16.7875,15.375,180.0,top
C106,16.54,28.01,180.0,top
C107,20.9775,15.515,0.0,top
C108,20.73,28.15,0.0,top
C109,20.8775,12.325,0.0,top
C11,83.801031,-32.248474,0.0,top
C110,20.63,26.71,0.0,top
C111,20.8775,14.075,0.0,top
C112,88.81,45.18,0.0,top
C113,70.31,20.43,270.0,top
C114,92.06,26.43,180.0,top
C115,88.81,28.68,180.0,top
C116,70.31,3.93,270.0,top
C117,92.06,9.93,180.0,top
C118,88.81,12.18,180.0,top
C119,32.56,11.18,0.0,top
C12,68.81,6.68,90.0,top
C120,6.74,10.72,180.0,top
C121,5.72,8.76,90.0,top
C122,5.86,4.57,270.0,top
C123,2.67,4.67,270.0,top
C124,4.42,4.67,270.0,top
C125,29.81,8.43,0.0,top
C126,29.81,7.18,0.0,top
C127,83.801031,-28.498474,180.0,top
C128,84.201031,-19.368474,0.0,top
C129,58.684364,-16.598474,90.0,top
C13,68.81,23.18,90.0,top
C130,11.56,42.68,0.0,top
C131,19.06,6.18,90.0,top
C132,20.63,24.96,0.0,top
C133,9.465,10.72,0.0,top
C134,7.09,4.57,270.0,top
C135,20.9775,16.745,0.0,top
C136,20.73,29.38,0.0,top
C137,14.8275,19.065,90.0,top
C138,10.89,-48.31,270.0,top
C139,21.81,35.43,90.0,top
C14,60.367697,-16.348474,270.0,top
C140,20.56,35.43,90.0,top
C141,70.301031,-31.248474,90.0,top
C142,19.31,35.43,90.0,top
C143,12.06,27.7175,0.0,bottom
C144,23.06,35.43,90.0,top
C145,94.861031,-35.518474,0.0,top
C146,56.801031,-22.248474,0.0,top
C147,83.801031,-29.748474,0.0,top
C148,56.801031,-23.898474,0.0,top
C149,56.801031,-25.448474,0.0,top
C15,89.121031,-32.748474,270.0,top
C150,56.801031,-27.048474,0.0,top
C16,57.06,25.18,0.0,top
C17,92.81,42.93,270.0,top
C18,20.56,5.93,90.0,top
C19,46.96,-2.77,180.0,top
C2,69.551031,-24.748474,180.0,top
C20,74.301031,-34.748474,270.0,top
C21,56.801031,-19.048474,0.0,top
C22,56.801031,-20.648474,0.0,top
C23,73.051031,-34.748474,270.0,top
C24,65.31,10.18,90.0,top
C25,65.31,26.68,90.0,top
C26,63.56,0.43,180.0,top
C27,63.56,16.93,180.0,top
C29,32.56,13.93,0.0,top
C3,71.301031,-48.498474,90.0,top
C30,46.96,-11.47,0.0,top
C31,27.81,19.43,0.0,top
C32,30.56,16.18,90.0,top
C33,75.551031,-34.748474,270.0,top
C35,92.991031,-26.308474,90.0,top
C36,61.81,26.68,270.0,top
C37,61.81,10.18,270.0,top
C38,14.811031,-28.223474,90.0,bottom
C39,83.801031,-33.498474,0.0,top
C4,91.301031,-26.308474,90.0,top
C40,10.89,-45.7,90.0,top
C41,77.551031,-45.748474,0.0,top
C42,53.99,-40.46,0.0,top
C43,52.0,-38.13,0.0,top
C44,51.96,-32.96,0.0,top
C45,76.801031,-34.748474,270.0,top
C46,38.06,3.93,270.0,top
C47,40.56,3.93,270.0,top
C48,41.81,3.93,270.0,top
C49,39.31,3.93,270.0,top
C5,69.551031,-26.248474,0.0,top
C50,88.681031,-26.708474,90.0,top
C500,56.801031,-14.298474,0.0,top
C51,83.551031,-47.748474,180.0,top
C52,29.81,11.18,0.0,top
C53,82.81,34.18,90.0,top
C54,82.81,39.68,90.0,top
C55,71.31,38.68,90.0,top
C56,82.81,45.18,90.0,top
C57,71.551031,-32.248474,270.0,top
C58,87.211031,-35.468474,270.0,top
C59,29.81,9.93,0.0,top
C6,61.88,-31.39,270.0,top
C60,89.951031,-26.708474,90.0,top
C61,47.56,40.93,270.0,top
C62,11.56,8.67,270.0,top
C63,57.201031,-16.598474,90.0,top
C64,32.56,7.18,180.0,top
C65,32.56,9.93,0.0,top
C66,38.06,40.93,270.0,top
C67,29.81,5.93,0.0,top
C68,94.861031,-37.448474,0.0,top
C69,90.437697,-35.868474,270.0,top
C7,69.551031,-23.498474,180.0,top
C70,88.724364,-35.868474,270.0,top
C71,82.81,1.18,90.0,top
C72,82.81,17.68,90.0,top
C73,82.81,6.68,90.0,top
C74,82.81,23.18,90.0,top
C75,82.81,28.68,90.0,top
C76,82.81,12.18,90.0,top
C77,32.56,16.93,0.0,top
C78,79.301031,-34.748474,90.0,top
C79,83.55,-24.16,180.0,top
C8,16.31,5.93,90.0,top
C80,32.56,12.68,0.0,top
C81,32.56,5.93,180.0,top
C82,72.201031,-20.57,270.0,top
C83,69.551031,-29.248474,0.0,top
C84,36.81,3.93,90.0,top
C85,49.31,4.93,90.0,top
C86,54.06,21.93,180.0,top
C87,36.56,25.93,270.0,top
C88,48.06,4.93,270.0,top
C89,32.56,19.18,0.0,top
C9,79.951031,-16.868474,180.0,top
C90,54.06,20.43,0.0,top
C91,-0.44,12.93,180.0,top
C94,-0.44,19.93,180.0,top
C95,-0.44,26.93,180.0,top
C96,15.06,5.93,90.0,top
C97,92.151031,-35.868474,270.0,top
C98,29.07,30.64,270.0,top
C99,17.56,5.93,90.0,top
D1,94.001031,-21.468474,270.0,top
D10,83.6385,-37.871006,45.0,top
D11,92.551031,-49.498474,0.0,top
D12,17.88,22.41,0.0,top
D13,0.12,7.42,270.0,top
D14,-0.55,22.71098,90.0,top
D15,-0.55,29.71098,90.0,top
D16,50.535,45.37,0.0,top
D17,45.285,45.37,0.0,top
D18,40.035,45.37,0.0,top
D19,11.535,45.37,0.0,top
D2,6.56,15.68,90.0,top
D20,22.035,45.37,0.0,top
D22,1.81,44.43,0.0,top
D24,-0.55,38.71098,90.0,top
D3,6.56,22.68,90.0,top
D4,-0.5,15.735279,90.0,top
D5,6.56,29.68,90.0,top
D6,94.961031,-30.280974,90.0,top
D7,32.51,24.43,270.0,top
D8,-0.49,-46.36,90.0,top
D9,18.1275,9.775,0.0,top
J1,93.3975,3.93,90.0,bottom
J2,93.3975,20.43,90.0,bottom
J3,93.3975,36.93,90.0,bottom
L1,69.051031,-31.248474,270.0,top
L10,70.31,1.18,270.0,top
L11,84.31,12.18,270.0,top
L12,3.46,9.1025,270.0,top
L2,89.801031,-42.498474,0.0,top
L3,32.56,8.68,180.0,top
L4,91.641031,-32.010974,90.0,top
L5,16.445,13.115,0.0,top
L6,16.1975,25.75,0.0,top
L7,84.31,45.18,90.0,top
L8,70.31,17.68,270.0,top
L9,84.31,28.68,270.0,top
