Designator,Footprint,Quantity,Designation,Supplier and ref
"Q5,Q4,Q3,Q2,Q1",SOT-23,5,IRLML6344,https://www.mouser.it/ProductDetail/942-IRLML6344TRPBF 
U2,SOT-223,1,zldo1117,https://www.mouser.it/ProductDetail/511-LDL1117S33R 
"Y1,Y2",Crystal_SMD_0503_4Pads,2,8MHz,https://www.mouser.it/ProductDetail/815-ABM3B-8.0-10-1UT 
"D11,D2,D3,D5,D7,D10",SMA_Standard,6,ES1J R2,https://www.mouser.it/ProductDetail/241-ES1J_R2_00001 
U3,SOIC-8-N,1,SI8621,https://www.mouser.it/ProductDetail/634-SI8621BB-B-ISR 
"U6,U7",SOIC-8-N,2,LM358,https://www.mouser.it/ProductDetail/595-LM358ADR 
"U8,U9,U10,U11,U14,U15,U16,U17,U18,U19",SOIC-8-N,10,SN65176B,https://www.mouser.it/ProductDetail/595-SN65176BDRE4 
L4,SMD_INDUCTOR_32x25,1,4.7µH,https://www.mouser.it/ProductDetail/994-ME3220-472MLC 
L6,SMD_INDUCTOR_32x25,1,10µH 1A,https://www.mouser.it/ProductDetail/994-ME3220-103KLC 
"D6,D12,D9,D13",SMA_Standard,4,SS34A,https://www.mouser.it/ProductDetail/821-SS34ALH 
"C12,C13,C36,C37,C71,C72,C73,C74,C75,C76,C113,C114,C115,C116,C117,C118,C125,C126,C2,C7,C9,C10,C15,C16,C17,C19,C29,C30,C41,C53,C54,C55,C56,C58,C60,C63,C66,C67,C77,C78,C79,C80,C82,C83,C84,C85,C86,C87,C89,C96,C98,C99,C100,C104,C106,C108,C112,C119,C127,C128,C40,C61,C91,C94,C95,C130,C138,C105,C120,C122,C103,C1,C121,C107",C_0603,74,100nF,https://www.mouser.it/ProductDetail/81-GCJ188L8EL104KA7D 
"C24,C25,C26,C27,C5,C6,C11,C20,C23,C31,C32,C33,C39,C45,C57",C_0603,15,18pF,https://www.mouser.it/ProductDetail/80-C0603C180K5RAUTO 
"C46,C47,C48,C49,C52,C59,C64,C81,C147,C21,C149,C22,C150,C148,C146,C500",C_0603,15,1nF,https://www.mouser.it/ProductDetail/810-CGA3E2C0G2A102J0 
"C42,C43,C44,C65,C88,C90,C101,C102,C129,C8,C18,C50,C136,C62,C139,C140,C142,C144,C141,C135,C134,C137,C133",C_0603,23,2.2µF,https://www.mouser.it/ProductDetail/81-GRM188R61H225KE1D
"L1,L3,L7,L8,L9,L10,L11",R_0603,7,220Ω 700mA,https://www.mouser.it/ProductDetail/81-BLM11A221S 
"R2,R12,R13,R14,R15,R16,R30,R45,R61,R63,R66,R69,R72,R75,R91,R99,R101,R102,R103,R104,R105,R108,R117,R119,R121,R122,R123,R124,R125,R126,R127,R128,R136,R139,R118,R153,R165",R_0603,37,1kΩ,https://www.mouser.it/ProductDetail/652-CR0603FX-1001ELF 
"R3,R4,R5,R6,R8,R17,R18,R46,R84,R93,R94,R95,R96,R100,R76,R83,R85,R120,R134",R_0603,19,470Ω,https://www.mouser.it/ProductDetail/71-CRCW0603-470-E3 
"R7,R36,R37,R38,R39,R41,R42,R43,R44,R62,R64,R65,R67,R68,R70,R71,R73,R98,R106,R116,R135,R137,R138,R140,R142,R155,R156,R157,R158,R132,R35",R_0603,31,10kΩ,https://www.mouser.it/ProductDetail/71-CRCW0603-10K-E3 
"R9,R10,R11,R40,R86,R87,R88,R89,R147,R148,R154,R159,R160,R163,R167,R175,R176",R_0603,17,22Ω,https://www.mouser.it/ProductDetail/71-CRCW060322R0FKEAC 
"R19,R47,R48,R49,R50,R54,R55,R56,R57,R58,R90,R92,R107",R_0603,13,15kΩ,https://www.mouser.it/ProductDetail/71-CRCW0603-15K-E3 
"R21,R97,R141,R60,R133",R_0603,5,51kΩ,https://www.mouser.it/ProductDetail/71-CRCW0603-51K-E3 
"R23,R24,R25,R26,R31,R109,R110,R111,R112,R113,R114,R130,R131,R1",R_0603,14,120Ω,https://www.mouser.it/ProductDetail/71-CRCW0603120RFKEAC 
"R29,R34,R53,R59,R79,R20,R22,R74,R149,R161,R164,R166",R_0603,12,3.9kΩ,https://www.mouser.it/ProductDetail/71-CRCW0603-3.9K-E3 
R115,R_0603,1,3.6kΩ,https://www.mouser.it/ProductDetail/71-CRCW0603-3.6K-E3 
"R129,R162,R170,R169,R168,R171",R_0603,6,100Ω,https://www.mouser.it/ProductDetail/71-CRCW0603100RFKEAH 
"R27,R28,R32,R33,R51,R52,R77,R78",R_1206,8,249kΩ,https://www.mouser.it/ProductDetail/71-RCS1206249KFKEA 
L2,NPI31W,1,1m 250mA,https://www.mouser.it/ProductDetail/673-P0752.105NLT 
U5,SOIC-7,1,LNK304D,https://www.mouser.it/ProductDetail/869-LNK304DN-TL 
"D4,D14,D15,D18,D19,D20,D24,D8",LED-0805-SIDE,8,LTST-S220KGKT green,https://www.mouser.it/ProductDetail/859-LTST-S220KGKT 
"D16,D1",LED-0805-SIDE,2,LTST-S220KRKT  red,https://www.mouser.it/ProductDetail/859-LTST-S220KRKT 
D17,LED-0805-SIDE,1,LTST-S220KSKT yellow,https://www.mouser.it/ProductDetail/859-LTST-S220KSKT 
"R143,R174,R145",R_0603,3,1.5kΩ,https://www.mouser.it/ProductDetail/71-CRCW06031K50FKEAC 
"R146,R177,R173,R172,R144,R152",R_0603,6,5.1kΩ,https://www.mouser.it/ProductDetail/71-CRCW06035K10FKEBC 
D22,SMA_Standard,1,SMAJ24A TVS 24V,https://www.mouser.it/ProductDetail/511-SMAJ24A-TR 
"C4,C35,C51,C68,C69,C110,C131,C132,C14,C97,C70,C145,C111,C123,C124,C109",C_0805,16,10µF,https://www.mouser.it/ProductDetail/810-C2012X5R1V106K0C 
"R80,R81,R82",R_2512,3,0.002Ω,https://www.mouser.it/ProductDetail/652-CSI2H-2512K2L00G
"U1,U20,U21,U22,U23,U29",SOT-23-6,6,USBLC6-4SC6,https://www.mouser.it/ProductDetail/511-USBLC6-2SC6 
"P1,P11",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,2,USB_C_Receptacle_USB2.0,https://www.mouser.it/ProductDetail/640-USB4105-GF-A 
C3,C_1808,1,150nF,https://www.mouser.it/ProductDetail/80-C1808W154KCR 
U25,LQFP-48_7x7mm_Pitch0.5mm,1,STM32F303CBTx,https://www.mouser.it/ProductDetail/511-STM32F303CBT7TR 
U26,LQFP-100_14x14mm_Pitch0.5mm,1,STM32F405VG,https://www.mouser.it/ProductDetail/511-STM32F405VGT7TR 
"U24,U13,U28,U4",SOT-23-6,4,RT8259,https://www.mouser.it/ProductDetail/835-RT8259GE 
"L12,L5",SMD_INDUCTOR_32x25,2,6.8µH,https://www.mouser.it/ProductDetail/994-ME3220-682MLC 
"J1,J2,J3",RJ45_LED,3,RJ45_LED,https://www.mouser.it/ProductDetail/587-A60-113-300P432 
C143,C_Radial_D6.5_L11_P2.5,1,22µF,https://www.mouser.it/ProductDetail/667-ECA-2AHG220I 
"P2,P3,P15",RM3.5_1x2,3,CONN_01X02,https://www.mouser.it/ProductDetail/651-1844210 
"P5,P9",RM3.5_1x6,2,CONN_01X06,https://www.mouser.it/ProductDetail/651-1844252 
U12,IKCM30F60GAXKMA1_2,1,IKCM30F60GAXKMA1,https://www.mouser.it/ProductDetail/726-IKCM30F60GDXKMA1 
P8,AMASS Connector MT60_1,1,CONN_01X03,https://it.aliexpress.com/item/1005003252443422.html cable conn.https://it.aliexpress.com/item/1005006238756455.html 
P6,AMASS_XT60IPW-M_P7.20mm_Horizontal,1,CONN_01X02,https://it.aliexpress.com/item/1005006116435410.html 
C38,Snubber Capacitor,1,680nF,https://www.mouser.it/ProductDetail/871-B32653A4684K 
U234,radial fan,1,fan 24V 12000rpm,https://it.aliexpress.com/item/32798634077.html 
