Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603",54.160000,43.930000,180.000000,top
"C2","100n","C_0603",69.551031,-24.748474,180.000000,top
"C3","150n","C_1808",71.301031,-48.498474,90.000000,top
"C4","10µ","C_0805",91.301031,-26.308474,90.000000,top
"C5","18p","C_0603",69.551031,-26.248474,0.000000,top
"C6","18p","C_0603",62.301031,-30.748474,-90.000000,top
"C7","100n","C_0603",69.551031,-23.498474,180.000000,top
"C8","2.2µ","C_0603",16.310000,5.930000,90.000000,top
"C9","100n","C_0603",79.951031,-16.868474,180.000000,top
"C10","100n","C_0603",67.801031,-31.248474,-90.000000,top
"C11","18p","C_0603",83.801031,-32.248474,0.000000,top
"C12","100n","C_0603",68.810000,6.680000,90.000000,top
"C13","100n","C_0603",68.810000,23.180000,90.000000,top
"C14","10µ","C_0805",60.367697,-16.348474,-90.000000,top
"C15","100n","C_0603",89.121031,-32.748474,-90.000000,top
"C16","100n","C_0603",57.060000,25.180000,0.000000,top
"C17","100n","C_0603",92.810000,42.930000,-90.000000,top
"C18","2.2µ","C_0603",20.560000,5.930000,90.000000,top
"C19","100n","C_0603",46.960000,-2.770000,180.000000,top
"C20","18p","C_0603",74.301031,-34.748474,-90.000000,top
"C21","1n","C_0603",56.801031,-19.048474,0.000000,top
"C22","1n","C_0603",56.801031,-20.648474,0.000000,top
"C23","18p","C_0603",73.051031,-34.748474,-90.000000,top
"C24","18p","C_0603",65.310000,10.180000,90.000000,top
"C25","18p","C_0603",65.310000,26.680000,90.000000,top
"C26","18p","C_0603",63.560000,0.430000,180.000000,top
"C27","18p","C_0603",63.560000,16.930000,180.000000,top
"C29","100n","C_0603",32.560000,13.930000,0.000000,top
"C30","100n","C_0603",46.960000,-11.470000,0.000000,top
"C31","18p","C_0603",27.810000,19.430000,0.000000,top
"C32","18p","C_0603",30.560000,16.180000,90.000000,top
"C33","18p","C_0603",75.551031,-34.748474,-90.000000,top
"C35","10µ","C_0805",92.991031,-26.308474,90.000000,top
"C36","100n","C_0603",61.810000,26.680000,-90.000000,top
"C37","100n","C_0603",61.810000,10.180000,-90.000000,top
"C39","18p","C_0603",83.801031,-33.498474,0.000000,top
"C40","100n","C_0603",10.890000,-45.700000,90.000000,top
"C41","100n","C_0603",77.551031,-45.748474,0.000000,top
"C42","2.2µ","C_0603",54.151031,-40.498474,0.000000,top
"C43","2.2µ","C_0603",54.151031,-35.348474,0.000000,top
"C44","2.2µ","C_0603",54.151031,-30.198474,0.000000,top
"C45","18p","C_0603",76.801031,-34.748474,-90.000000,top
"C46","1n","C_0603",38.060000,3.930000,-90.000000,top
"C47","1n","C_0603",40.560000,3.930000,-90.000000,top
"C48","1n","C_0603",41.810000,3.930000,-90.000000,top
"C49","1n","C_0603",39.310000,3.930000,-90.000000,top
"C50","2.2µ","C_0603",88.681031,-26.708474,90.000000,top
"C51","10µ","C_0805",83.551031,-47.748474,180.000000,top
"C52","1n","C_0603",29.810000,11.180000,0.000000,top
"C53","100n","C_0603",82.810000,34.180000,90.000000,top
"C54","100n","C_0603",82.810000,39.680000,90.000000,top
"C55","100n","C_0603",71.310000,38.680000,90.000000,top
"C56","100n","C_0603",82.810000,45.180000,90.000000,top
"C57","18p","C_0603",71.551031,-32.248474,-90.000000,top
"C58","100n","C_0603",87.211031,-35.468474,-90.000000,top
"C59","1n","C_0603",29.810000,9.930000,0.000000,top
"C60","100n","C_0603",89.951031,-26.708474,90.000000,top
"C61","100n","C_0603",47.560000,40.930000,-90.000000,top
"C62","2.2µ","C_0603",11.560000,8.670000,-90.000000,top
"C63","100n","C_0603",57.201031,-16.598474,90.000000,top
"C64","1n","C_0603",32.560000,7.180000,180.000000,top
"C65","2.2µ","C_0603",32.560000,9.930000,0.000000,top
"C66","100n","C_0603",38.060000,40.930000,-90.000000,top
"C67","100n","C_0603",29.810000,5.930000,0.000000,top
"C68","10µ","C_0805",94.861031,-37.448474,0.000000,top
"C69","10µ","C_0805",90.437697,-35.868474,-90.000000,top
"C70","10µ","C_0805",88.724364,-35.868474,-90.000000,top
"C71","100n","C_0603",82.810000,1.180000,90.000000,top
"C72","100n","C_0603",82.810000,17.680000,90.000000,top
"C73","100n","C_0603",82.810000,6.680000,90.000000,top
"C74","100n","C_0603",82.810000,23.180000,90.000000,top
"C75","100n","C_0603",82.810000,28.680000,90.000000,top
"C76","100n","C_0603",82.810000,12.180000,90.000000,top
"C77","100n","C_0603",32.560000,16.930000,0.000000,top
"C78","100n","C_0603",79.301031,-34.748474,90.000000,top
"C79","100n","C_0603",83.551031,-24.748474,180.000000,top
"C80","100n","C_0603",32.560000,12.680000,0.000000,top
"C81","1n","C_0603",32.560000,5.930000,180.000000,top
"C82","100n","C_0603",72.201031,-20.570000,-90.000000,top
"C83","100n","C_0603",69.551031,-29.248474,0.000000,top
"C84","100n","C_0603",36.810000,3.930000,90.000000,top
"C85","100n","C_0603",49.310000,4.930000,90.000000,top
"C86","100n","C_0603",54.060000,21.930000,180.000000,top
"C87","100n","C_0603",36.560000,25.930000,-90.000000,top
"C88","2.2µ","C_0603",48.060000,4.930000,-90.000000,top
"C89","100n","C_0603",32.560000,19.180000,0.000000,top
"C90","2.2µ","C_0603",54.060000,20.430000,0.000000,top
"C91","100n","C_0603",-0.440000,12.930000,180.000000,top
"C94","100n","C_0603",-0.440000,19.930000,180.000000,top
"C95","100n","C_0603",-0.440000,26.930000,180.000000,top
"C96","100n","C_0603",15.060000,5.930000,90.000000,top
"C97","10µ","C_0805",92.151031,-35.868474,-90.000000,top
"C98","100n","C_0603",29.070000,30.640000,-90.000000,top
"C99","100n","C_0603",17.560000,5.930000,90.000000,top
"C100","100n","C_0603",22.060000,42.680000,0.000000,top
"C101","2.2µ","C_0603",12.850000,8.670000,-90.000000,top
"C102","2.2µ","C_0603",14.580000,31.700000,90.000000,top
"C103","100n","C_0603",14.827500,16.395000,-90.000000,top
"C104","100n","C_0603",14.580000,29.030000,-90.000000,top
"C105","100n","C_0603",16.787500,15.375000,180.000000,top
"C106","100n","C_0603",16.540000,28.010000,180.000000,top
"C107","100n","C_0603",20.977500,15.515000,0.000000,top
"C108","100n","C_0603",20.730000,28.150000,0.000000,top
"C109","10µ","C_0805",20.877500,12.325000,0.000000,top
"C110","10µ","C_0805",20.630000,26.710000,0.000000,top
"C111","10µ","C_0805",20.877500,14.075000,0.000000,top
"C112","100n","C_0603",88.810000,45.180000,0.000000,top
"C113","100n","C_0603",70.310000,20.430000,-90.000000,top
"C114","100n","C_0603",92.060000,26.430000,180.000000,top
"C115","100n","C_0603",88.810000,28.680000,180.000000,top
"C116","100n","C_0603",70.310000,3.930000,-90.000000,top
"C117","100n","C_0603",92.060000,9.930000,180.000000,top
"C118","100n","C_0603",88.810000,12.180000,180.000000,top
"C119","100n","C_0603",32.560000,11.180000,0.000000,top
"C120","100n","C_0603",6.740000,10.720000,180.000000,top
"C121","100n","C_0603",5.720000,8.760000,90.000000,top
"C122","100n","C_0603",5.860000,4.570000,-90.000000,top
"C123","10µ","C_0805",2.670000,4.670000,-90.000000,top
"C124","10µ","C_0805",4.420000,4.670000,-90.000000,top
"C125","100n","C_0603",29.810000,8.430000,0.000000,top
"C126","100n","C_0603",29.810000,7.180000,0.000000,top
"C127","100n","C_0603",83.801031,-28.498474,180.000000,top
"C128","100n","C_0603",84.201031,-19.368474,0.000000,top
"C129","2.2µ","C_0603",58.684364,-16.598474,90.000000,top
"C130","100n","C_0603",11.560000,42.680000,0.000000,top
"C131","10µ","C_0805",19.060000,6.180000,90.000000,top
"C132","10µ","C_0805",20.630000,24.960000,0.000000,top
"C133","2.2µ","C_0603",9.465000,10.720000,0.000000,top
"C134","2.2µ","C_0603",7.090000,4.570000,-90.000000,top
"C135","2.2µ","C_0603",20.977500,16.745000,0.000000,top
"C136","2.2µ","C_0603",20.730000,29.380000,0.000000,top
"C137","2.2µ","C_0603",14.827500,19.065000,90.000000,top
"C138","100n","C_0603",10.890000,-48.200000,-90.000000,top
"C139","2.2µ","C_0603",21.810000,35.430000,90.000000,top
"C140","2.2µ","C_0603",20.560000,35.430000,90.000000,top
"C141","2.2µ","C_0603",70.301031,-31.248474,90.000000,top
"C142","2.2µ","C_0603",19.310000,35.430000,90.000000,top
"C144","2.2µ","C_0603",23.060000,35.430000,90.000000,top
"C145","10µ","C_0805",94.861031,-35.518474,0.000000,top
"C146","1n","C_0603",56.801031,-22.248474,0.000000,top
"C147","1n","C_0603",83.801031,-29.748474,0.000000,top
"C148","1n","C_0603",56.801031,-23.898474,0.000000,top
"C149","1n","C_0603",56.801031,-25.448474,0.000000,top
"C150","1n","C_0603",56.801031,-27.048474,0.000000,top
"C500","1n","C_0603",56.801031,-14.298474,0.000000,top
"D1","red","LED-0805-SIDE",94.001031,-21.468474,-90.000000,top
"D2","ES1J R2","SMA_Standard",6.560000,15.680000,90.000000,top
"D3","ES1J R2","SMA_Standard",6.560000,22.680000,90.000000,top
"D4","green","LED-0805-SIDE",-0.500000,15.735279,90.000000,top
"D5","ES1J R2","SMA_Standard",6.560000,29.680000,90.000000,top
"D6","SS34A","SMA_Standard",94.961031,-30.280974,90.000000,top
"D7","ES1J R2","SMA_Standard",32.510000,24.430000,-90.000000,top
"D8","green","LED-0805-SIDE",-0.490000,-46.360000,90.000000,top
"D9","SS34A","SMA_Standard",18.127500,9.775000,0.000000,top
"D10","ES1J R2","SMA_Standard",83.638500,-37.871006,45.000000,top
"D11","ES1J R2","SMA_Standard",92.551031,-49.498474,0.000000,top
"D12","SS34A","SMA_Standard",17.880000,22.410000,0.000000,top
"D13","SS34A","SMA_Standard",0.120000,7.420000,-90.000000,top
"D14","green","LED-0805-SIDE",-0.550000,22.710980,90.000000,top
"D15","green","LED-0805-SIDE",-0.550000,29.710980,90.000000,top
"D16","red","LED-0805-SIDE",50.535000,45.370000,0.000000,top
"D17","yellow","LED-0805-SIDE",45.285000,45.370000,0.000000,top
"D18","green","LED-0805-SIDE",40.035000,45.370000,0.000000,top
"D19","green","LED-0805-SIDE",11.535000,45.370000,0.000000,top
"D20","green","LED-0805-SIDE",22.035000,45.370000,0.000000,top
